1,Fred Caldwell,61,Bater Circle,339 Posa Grove,YELLOW
2,Teresa Craig,21,Epoese Ridge,233 Urulu Square,BLUE
3,Alexander Harmon,26,Uhwe Court,1240 Ihucuz River,WHITE
4,Calvin James,52,Musa Key,1925 Mofro Heights,GREEN
5,Pearl Anderson,30,Watfa Glen,724 Uzunas Junction,GREEN
6,Effie Hicks,53,Leni Parkway,1856 Zeab Lane,GREEN
7,Henrietta Stewart,29,Puvhir Grove,932 Irofi Mill,WHITE
8,Duane McDonald,44,Alitij Plaza,1915 Vufziv Center,GREEN
9,Adrian Norman,42,Vepol Pike,1689 Ebaobi Circle,GREEN
10,Christina Alexander,56,Uficu Mill,1327 Reni Junction,WHITE
